Epoch 074 | Loss: 0.1970 | Val [MAE: 0.2551 | MSE: 0.0654 | R2: 0.5835 | MedAE: 0.2492] | Best MAE: 0.2551 | LR: 3.61e-04 | Pat: 0/30
Epoch 075 | Loss: 0.1946 | Val [MAE: 0.2536 | MSE: 0.0657 | R2: 0.5978 | MedAE: 0.2404] | Best MAE: 0.2536 | LR: 3.57e-04 | Pat: 0/30
Epoch 076 | Loss: 0.1924 | Val [MAE: 0.2535 | MSE: 0.0653 | R2: 0.5967 | MedAE: 0.2439] | Best MAE: 0.2535 | LR: 3.54e-04 | Pat: 0/30
Epoch 077 | Loss: 0.1901 | Val [MAE: 0.2517 | MSE: 0.0639 | R2: 0.6059 | MedAE: 0.2393] | Best MAE: 0.2517 | LR: 3.50e-04 | Pat: 0/30
Epoch 078 | Loss: 0.1879 | Val [MAE: 0.2509 | MSE: 0.0623 | R2: 0.6060 | MedAE: 0.2414] | Best MAE: 0.2509 | LR: 3.46e-04 | Pat: 0/30
Epoch 079 | Loss: 0.1861 | Val [MAE: 0.2500 | MSE: 0.0618 | R2: 0.6005 | MedAE: 0.2434] | Best MAE: 0.2500 | LR: 3.43e-04 | Pat: 0/30
Epoch 080 | Loss: 0.1832 | Val [MAE: 0.2490 | MSE: 0.0601 | R2: 0.6146 | MedAE: 0.2345] | Best MAE: 0.2490 | LR: 3.39e-04 | Pat: 0/30
Epoch 081 | Loss: 0.1808 | Val [MAE: 0.2479 | MSE: 0.0622 | R2: 0.6054 | MedAE: 0.2365] | Best MAE: 0.2479 | LR: 3.35e-04 | Pat: 0/30
Epoch 082 | Loss: 0.1785 | Val [MAE: 0.2469 | MSE: 0.0591 | R2: 0.6156 | MedAE: 0.2397] | Best MAE: 0.2469 | LR: 3.31e-04 | Pat: 0/30
Epoch 083 | Loss: 0.1765 | Val [MAE: 0.2460 | MSE: 0.0614 | R2: 0.6232 | MedAE: 0.2351] | Best MAE: 0.2460 | LR: 3.28e-04 | Pat: 0/30
Epoch 084 | Loss: 0.1748 | Val [MAE: 0.2459 | MSE: 0.0623 | R2: 0.6239 | MedAE: 0.2388] | Best MAE: 0.2459 | LR: 3.24e-04 | Pat: 0/30
Epoch 085 | Loss: 0.1727 | Val [MAE: 0.2456 | MSE: 0.0593 | R2: 0.6308 | MedAE: 0.2366] | Best MAE: 0.2456 | LR: 3.20e-04 | Pat: 0/30
Epoch 086 | Loss: 0.1709 | Val [MAE: 0.2458 | MSE: 0.0597 | R2: 0.6105 | MedAE: 0.2349] | Best MAE: 0.2456 | LR: 3.16e-04 | Pat: 1/30
Epoch 087 | Loss: 0.1691 | Val [MAE: 0.2456 | MSE: 0.0598 | R2: 0.6248 | MedAE: 0.2345] | Best MAE: 0.2456 | LR: 3.12e-04 | Pat: 0/30
Epoch 088 | Loss: 0.1670 | Val [MAE: 0.2447 | MSE: 0.0607 | R2: 0.6291 | MedAE: 0.2386] | Best MAE: 0.2447 | LR: 3.08e-04 | Pat: 0/30
Epoch 089 | Loss: 0.1652 | Val [MAE: 0.2444 | MSE: 0.0589 | R2: 0.6251 | MedAE: 0.2375] | Best MAE: 0.2444 | LR: 3.04e-04 | Pat: 0/30
Epoch 090 | Loss: 0.1633 | Val [MAE: 0.2435 | MSE: 0.0591 | R2: 0.6328 | MedAE: 0.2339] | Best MAE: 0.2435 | LR: 3.00e-04 | Pat: 0/30
Epoch 091 | Loss: 0.1611 | Val [MAE: 0.2423 | MSE: 0.0582 | R2: 0.6276 | MedAE: 0.2321] | Best MAE: 0.2423 | LR: 2.96e-04 | Pat: 0/30
Epoch 092 | Loss: 0.1597 | Val [MAE: 0.2415 | MSE: 0.0581 | R2: 0.6387 | MedAE: 0.2279] | Best MAE: 0.2415 | LR: 2.93e-04 | Pat: 0/30
Epoch 093 | Loss: 0.1579 | Val [MAE: 0.2413 | MSE: 0.0595 | R2: 0.6386 | MedAE: 0.2306] | Best MAE: 0.2413 | LR: 2.89e-04 | Pat: 0/30
Epoch 094 | Loss: 0.1567 | Val [MAE: 0.2412 | MSE: 0.0572 | R2: 0.6315 | MedAE: 0.2281] | Best MAE: 0.2412 | LR: 2.85e-04 | Pat: 0/30
Epoch 095 | Loss: 0.1551 | Val [MAE: 0.2409 | MSE: 0.0581 | R2: 0.6340 | MedAE: 0.2322] | Best MAE: 0.2409 | LR: 2.81e-04 | Pat: 0/30
Epoch 096 | Loss: 0.1533 | Val [MAE: 0.2402 | MSE: 0.0580 | R2: 0.6384 | MedAE: 0.2333] | Best MAE: 0.2402 | LR: 2.77e-04 | Pat: 0/30
Epoch 097 | Loss: 0.1520 | Val [MAE: 0.2394 | MSE: 0.0582 | R2: 0.6386 | MedAE: 0.2316] | Best MAE: 0.2394 | LR: 2.73e-04 | Pat: 0/30
Epoch 098 | Loss: 0.1503 | Val [MAE: 0.2386 | MSE: 0.0556 | R2: 0.6495 | MedAE: 0.2333] | Best MAE: 0.2386 | LR: 2.69e-04 | Pat: 0/30
Epoch 099 | Loss: 0.1488 | Val [MAE: 0.2384 | MSE: 0.0579 | R2: 0.6458 | MedAE: 0.2297] | Best MAE: 0.2384 | LR: 2.65e-04 | Pat: 0/30
Epoch 100 | Loss: 0.1472 | Val [MAE: 0.2387 | MSE: 0.0574 | R2: 0.6504 | MedAE: 0.2274] | Best MAE: 0.2384 | LR: 2.61e-04 | Pat: 1/30
Epoch 101 | Loss: 0.1455 | Val [MAE: 0.2390 | MSE: 0.0580 | R2: 0.6488 | MedAE: 0.2256] | Best MAE: 0.2384 | LR: 2.57e-04 | Pat: 2/30
Epoch 102 | Loss: 0.1436 | Val [MAE: 0.2393 | MSE: 0.0573 | R2: 0.6424 | MedAE: 0.2320] | Best MAE: 0.2384 | LR: 2.53e-04 | Pat: 3/30
Epoch 103 | Loss: 0.1418 | Val [MAE: 0.2394 | MSE: 0.0557 | R2: 0.6407 | MedAE: 0.2274] | Best MAE: 0.2384 | LR: 2.48e-04 | Pat: 4/30
Epoch 104 | Loss: 0.1401 | Val [MAE: 0.2390 | MSE: 0.0565 | R2: 0.6383 | MedAE: 0.2265] | Best MAE: 0.2384 | LR: 2.44e-04 | Pat: 5/30
Epoch 105 | Loss: 0.1389 | Val [MAE: 0.2381 | MSE: 0.0575 | R2: 0.6417 | MedAE: 0.2262] | Best MAE: 0.2381 | LR: 2.40e-04 | Pat: 0/30
Epoch 106 | Loss: 0.1374 | Val [MAE: 0.2375 | MSE: 0.0565 | R2: 0.6434 | MedAE: 0.2229] | Best MAE: 0.2375 | LR: 2.36e-04 | Pat: 0/30
Epoch 107 | Loss: 0.1358 | Val [MAE: 0.2370 | MSE: 0.0561 | R2: 0.6506 | MedAE: 0.2262] | Best MAE: 0.2370 | LR: 2.32e-04 | Pat: 0/30
Epoch 108 | Loss: 0.1345 | Val [MAE: 0.2369 | MSE: 0.0579 | R2: 0.6447 | MedAE: 0.2275] | Best MAE: 0.2369 | LR: 2.28e-04 | Pat: 0/30
Epoch 109 | Loss: 0.1330 | Val [MAE: 0.2370 | MSE: 0.0584 | R2: 0.6494 | MedAE: 0.2266] | Best MAE: 0.2369 | LR: 2.24e-04 | Pat: 1/30
Epoch 110 | Loss: 0.1318 | Val [MAE: 0.2366 | MSE: 0.0559 | R2: 0.6510 | MedAE: 0.2316] | Best MAE: 0.2366 | LR: 2.20e-04 | Pat: 0/30
Epoch 111 | Loss: 0.1309 | Val [MAE: 0.2364 | MSE: 0.0578 | R2: 0.6483 | MedAE: 0.2313] | Best MAE: 0.2364 | LR: 2.16e-04 | Pat: 0/30
Epoch 112 | Loss: 0.1297 | Val [MAE: 0.2373 | MSE: 0.0543 | R2: 0.6472 | MedAE: 0.2273] | Best MAE: 0.2364 | LR: 2.12e-04 | Pat: 1/30
Epoch 113 | Loss: 0.1283 | Val [MAE: 0.2371 | MSE: 0.0542 | R2: 0.6559 | MedAE: 0.2283] | Best MAE: 0.2364 | LR: 2.08e-04 | Pat: 2/30
Epoch 114 | Loss: 0.1270 | Val [MAE: 0.2367 | MSE: 0.0569 | R2: 0.6580 | MedAE: 0.2303] | Best MAE: 0.2364 | LR: 2.05e-04 | Pat: 3/30
Epoch 115 | Loss: 0.1256 | Val [MAE: 0.2366 | MSE: 0.0557 | R2: 0.6462 | MedAE: 0.2280] | Best MAE: 0.2364 | LR: 2.01e-04 | Pat: 4/30
Epoch 116 | Loss: 0.1243 | Val [MAE: 0.2369 | MSE: 0.0567 | R2: 0.6484 | MedAE: 0.2254] | Best MAE: 0.2364 | LR: 1.97e-04 | Pat: 5/30
Epoch 117 | Loss: 0.1230 | Val [MAE: 0.2370 | MSE: 0.0567 | R2: 0.6470 | MedAE: 0.2268] | Best MAE: 0.2364 | LR: 1.93e-04 | Pat: 6/30
Epoch 118 | Loss: 0.1219 | Val [MAE: 0.2375 | MSE: 0.0563 | R2: 0.6460 | MedAE: 0.2286] | Best MAE: 0.2364 | LR: 1.89e-04 | Pat: 7/30
Epoch 119 | Loss: 0.1208 | Val [MAE: 0.2374 | MSE: 0.0571 | R2: 0.6554 | MedAE: 0.2247] | Best MAE: 0.2364 | LR: 1.85e-04 | Pat: 8/30
Epoch 120 | Loss: 0.1198 | Val [MAE: 0.2365 | MSE: 0.0561 | R2: 0.6538 | MedAE: 0.2310] | Best MAE: 0.2364 | LR: 1.81e-04 | Pat: 9/30
Epoch 121 | Loss: 0.1189 | Val [MAE: 0.2373 | MSE: 0.0548 | R2: 0.6542 | MedAE: 0.2235] | Best MAE: 0.2364 | LR: 1.77e-04 | Pat: 10/30
Epoch 122 | Loss: 0.1180 | Val [MAE: 0.2372 | MSE: 0.0565 | R2: 0.6572 | MedAE: 0.2254] | Best MAE: 0.2364 | LR: 1.73e-04 | Pat: 11/30
Epoch 123 | Loss: 0.1170 | Val [MAE: 0.2366 | MSE: 0.0562 | R2: 0.6480 | MedAE: 0.2274] | Best MAE: 0.2364 | LR: 1.70e-04 | Pat: 12/30
Epoch 124 | Loss: 0.1161 | Val [MAE: 0.2370 | MSE: 0.0580 | R2: 0.6480 | MedAE: 0.2251] | Best MAE: 0.2364 | LR: 1.66e-04 | Pat: 13/30
Epoch 125 | Loss: 0.1151 | Val [MAE: 0.2374 | MSE: 0.0552 | R2: 0.6479 | MedAE: 0.2230] | Best MAE: 0.2364 | LR: 1.62e-04 | Pat: 14/30
Epoch 126 | Loss: 0.1143 | Val [MAE: 0.2376 | MSE: 0.0564 | R2: 0.6524 | MedAE: 0.2260] | Best MAE: 0.2364 | LR: 1.58e-04 | Pat: 15/30
Epoch 127 | Loss: 0.1135 | Val [MAE: 0.2375 | MSE: 0.0560 | R2: 0.6470 | MedAE: 0.2258] | Best MAE: 0.2364 | LR: 1.55e-04 | Pat: 16/30
Epoch 128 | Loss: 0.1126 | Val [MAE: 0.2377 | MSE: 0.0564 | R2: 0.6501 | MedAE: 0.2257] | Best MAE: 0.2364 | LR: 1.51e-04 | Pat: 17/30
