Epoch 079 | Loss: 0.3263 | Val [AP: 0.5904 | AUPRC: 0.5874 | AUROC: 0.8020 | F1: 0.2746 | ACCURACY: 0.2350] | Best AP: 0.5969 | LR: 3.43e-04 | Pat: 1/30
Epoch 080 | Loss: 0.3235 | Val [AP: 0.6012 | AUPRC: 0.5968 | AUROC: 0.8100 | F1: 0.2762 | ACCURACY: 0.2458] | Best AP: 0.6012 | LR: 3.39e-04 | Pat: 0/30
Epoch 081 | Loss: 0.3208 | Val [AP: 0.6017 | AUPRC: 0.5992 | AUROC: 0.8095 | F1: 0.2864 | ACCURACY: 0.2348] | Best AP: 0.6017 | LR: 3.35e-04 | Pat: 0/30
Epoch 082 | Loss: 0.3180 | Val [AP: 0.6115 | AUPRC: 0.6096 | AUROC: 0.8189 | F1: 0.2865 | ACCURACY: 0.2456] | Best AP: 0.6115 | LR: 3.31e-04 | Pat: 0/30
Epoch 083 | Loss: 0.3147 | Val [AP: 0.6113 | AUPRC: 0.6096 | AUROC: 0.8146 | F1: 0.2886 | ACCURACY: 0.2471] | Best AP: 0.6115 | LR: 3.28e-04 | Pat: 1/30
Epoch 084 | Loss: 0.3113 | Val [AP: 0.6140 | AUPRC: 0.6092 | AUROC: 0.8190 | F1: 0.2802 | ACCURACY: 0.2448] | Best AP: 0.6140 | LR: 3.24e-04 | Pat: 0/30
Epoch 085 | Loss: 0.3091 | Val [AP: 0.6203 | AUPRC: 0.6192 | AUROC: 0.8235 | F1: 0.2903 | ACCURACY: 0.2473] | Best AP: 0.6203 | LR: 3.20e-04 | Pat: 0/30
Epoch 086 | Loss: 0.3066 | Val [AP: 0.6252 | AUPRC: 0.6240 | AUROC: 0.8295 | F1: 0.2857 | ACCURACY: 0.2600] | Best AP: 0.6252 | LR: 3.16e-04 | Pat: 0/30
Epoch 087 | Loss: 0.3045 | Val [AP: 0.6332 | AUPRC: 0.6301 | AUROC: 0.8279 | F1: 0.2926 | ACCURACY: 0.2554] | Best AP: 0.6332 | LR: 3.12e-04 | Pat: 0/30
Epoch 088 | Loss: 0.3017 | Val [AP: 0.6239 | AUPRC: 0.6222 | AUROC: 0.8253 | F1: 0.2976 | ACCURACY: 0.2548] | Best AP: 0.6332 | LR: 3.08e-04 | Pat: 1/30
Epoch 089 | Loss: 0.2987 | Val [AP: 0.6269 | AUPRC: 0.6241 | AUROC: 0.8224 | F1: 0.2791 | ACCURACY: 0.2505] | Best AP: 0.6332 | LR: 3.04e-04 | Pat: 2/30
Epoch 090 | Loss: 0.2965 | Val [AP: 0.6258 | AUPRC: 0.6233 | AUROC: 0.8287 | F1: 0.2983 | ACCURACY: 0.2553] | Best AP: 0.6332 | LR: 3.00e-04 | Pat: 3/30
Epoch 091 | Loss: 0.2936 | Val [AP: 0.6347 | AUPRC: 0.6310 | AUROC: 0.8336 | F1: 0.3025 | ACCURACY: 0.2564] | Best AP: 0.6347 | LR: 2.96e-04 | Pat: 0/30
Epoch 092 | Loss: 0.2915 | Val [AP: 0.6337 | AUPRC: 0.6302 | AUROC: 0.8321 | F1: 0.2865 | ACCURACY: 0.2598] | Best AP: 0.6347 | LR: 2.93e-04 | Pat: 1/30
Epoch 093 | Loss: 0.2897 | Val [AP: 0.6401 | AUPRC: 0.6386 | AUROC: 0.8377 | F1: 0.2998 | ACCURACY: 0.2525] | Best AP: 0.6401 | LR: 2.89e-04 | Pat: 0/30
Epoch 094 | Loss: 0.2871 | Val [AP: 0.6421 | AUPRC: 0.6378 | AUROC: 0.8322 | F1: 0.2970 | ACCURACY: 0.2646] | Best AP: 0.6421 | LR: 2.85e-04 | Pat: 0/30
Epoch 095 | Loss: 0.2850 | Val [AP: 0.6400 | AUPRC: 0.6351 | AUROC: 0.8373 | F1: 0.2918 | ACCURACY: 0.2578] | Best AP: 0.6421 | LR: 2.81e-04 | Pat: 1/30
Epoch 096 | Loss: 0.2828 | Val [AP: 0.6472 | AUPRC: 0.6449 | AUROC: 0.8388 | F1: 0.3034 | ACCURACY: 0.2583] | Best AP: 0.6472 | LR: 2.77e-04 | Pat: 0/30
Epoch 097 | Loss: 0.2804 | Val [AP: 0.6481 | AUPRC: 0.6449 | AUROC: 0.8461 | F1: 0.3071 | ACCURACY: 0.2538] | Best AP: 0.6481 | LR: 2.73e-04 | Pat: 0/30
Epoch 098 | Loss: 0.2778 | Val [AP: 0.6473 | AUPRC: 0.6425 | AUROC: 0.8415 | F1: 0.3025 | ACCURACY: 0.2622] | Best AP: 0.6481 | LR: 2.69e-04 | Pat: 1/30
Epoch 099 | Loss: 0.2759 | Val [AP: 0.6550 | AUPRC: 0.6510 | AUROC: 0.8511 | F1: 0.3020 | ACCURACY: 0.2685] | Best AP: 0.6550 | LR: 2.65e-04 | Pat: 0/30
Epoch 100 | Loss: 0.2736 | Val [AP: 0.6496 | AUPRC: 0.6480 | AUROC: 0.8475 | F1: 0.3060 | ACCURACY: 0.2606] | Best AP: 0.6550 | LR: 2.61e-04 | Pat: 1/30
Epoch 101 | Loss: 0.2710 | Val [AP: 0.6510 | AUPRC: 0.6497 | AUROC: 0.8417 | F1: 0.3081 | ACCURACY: 0.2671] | Best AP: 0.6550 | LR: 2.57e-04 | Pat: 2/30
Epoch 102 | Loss: 0.2693 | Val [AP: 0.6564 | AUPRC: 0.6522 | AUROC: 0.8448 | F1: 0.3037 | ACCURACY: 0.2596] | Best AP: 0.6564 | LR: 2.53e-04 | Pat: 0/30
Epoch 103 | Loss: 0.2670 | Val [AP: 0.6595 | AUPRC: 0.6552 | AUROC: 0.8468 | F1: 0.3062 | ACCURACY: 0.2624] | Best AP: 0.6595 | LR: 2.48e-04 | Pat: 0/30
Epoch 104 | Loss: 0.2648 | Val [AP: 0.6564 | AUPRC: 0.6538 | AUROC: 0.8481 | F1: 0.3062 | ACCURACY: 0.2628] | Best AP: 0.6595 | LR: 2.44e-04 | Pat: 1/30
Epoch 105 | Loss: 0.2631 | Val [AP: 0.6542 | AUPRC: 0.6505 | AUROC: 0.8500 | F1: 0.3084 | ACCURACY: 0.2656] | Best AP: 0.6595 | LR: 2.40e-04 | Pat: 2/30
Epoch 106 | Loss: 0.2614 | Val [AP: 0.6612 | AUPRC: 0.6586 | AUROC: 0.8478 | F1: 0.2997 | ACCURACY: 0.2687] | Best AP: 0.6612 | LR: 2.36e-04 | Pat: 0/30
Epoch 107 | Loss: 0.2596 | Val [AP: 0.6579 | AUPRC: 0.6544 | AUROC: 0.8470 | F1: 0.2994 | ACCURACY: 0.2629] | Best AP: 0.6612 | LR: 2.32e-04 | Pat: 1/30
Epoch 108 | Loss: 0.2581 | Val [AP: 0.6592 | AUPRC: 0.6562 | AUROC: 0.8432 | F1: 0.2993 | ACCURACY: 0.2680] | Best AP: 0.6612 | LR: 2.28e-04 | Pat: 2/30
Epoch 109 | Loss: 0.2567 | Val [AP: 0.6570 | AUPRC: 0.6547 | AUROC: 0.8512 | F1: 0.3063 | ACCURACY: 0.2588] | Best AP: 0.6612 | LR: 2.24e-04 | Pat: 3/30
Epoch 110 | Loss: 0.2545 | Val [AP: 0.6627 | AUPRC: 0.6609 | AUROC: 0.8518 | F1: 0.3013 | ACCURACY: 0.2612] | Best AP: 0.6627 | LR: 2.20e-04 | Pat: 0/30
Epoch 111 | Loss: 0.2524 | Val [AP: 0.6672 | AUPRC: 0.6652 | AUROC: 0.8630 | F1: 0.3136 | ACCURACY: 0.2722] | Best AP: 0.6672 | LR: 2.16e-04 | Pat: 0/30
Epoch 112 | Loss: 0.2510 | Val [AP: 0.6675 | AUPRC: 0.6631 | AUROC: 0.8521 | F1: 0.3137 | ACCURACY: 0.2705] | Best AP: 0.6675 | LR: 2.12e-04 | Pat: 0/30
Epoch 113 | Loss: 0.2493 | Val [AP: 0.6609 | AUPRC: 0.6583 | AUROC: 0.8492 | F1: 0.3045 | ACCURACY: 0.2702] | Best AP: 0.6675 | LR: 2.08e-04 | Pat: 1/30
Epoch 114 | Loss: 0.2480 | Val [AP: 0.6641 | AUPRC: 0.6600 | AUROC: 0.8497 | F1: 0.3097 | ACCURACY: 0.2644] | Best AP: 0.6675 | LR: 2.05e-04 | Pat: 2/30
Epoch 115 | Loss: 0.2470 | Val [AP: 0.6656 | AUPRC: 0.6619 | AUROC: 0.8535 | F1: 0.3130 | ACCURACY: 0.2591] | Best AP: 0.6675 | LR: 2.01e-04 | Pat: 3/30
Epoch 116 | Loss: 0.2451 | Val [AP: 0.6668 | AUPRC: 0.6622 | AUROC: 0.8532 | F1: 0.3096 | ACCURACY: 0.2737] | Best AP: 0.6675 | LR: 1.97e-04 | Pat: 4/30
Epoch 117 | Loss: 0.2433 | Val [AP: 0.6715 | AUPRC: 0.6679 | AUROC: 0.8595 | F1: 0.3141 | ACCURACY: 0.2715] | Best AP: 0.6715 | LR: 1.93e-04 | Pat: 0/30
Epoch 118 | Loss: 0.2413 | Val [AP: 0.6686 | AUPRC: 0.6666 | AUROC: 0.8544 | F1: 0.2996 | ACCURACY: 0.2627] | Best AP: 0.6715 | LR: 1.89e-04 | Pat: 1/30
Epoch 119 | Loss: 0.2398 | Val [AP: 0.6656 | AUPRC: 0.6617 | AUROC: 0.8516 | F1: 0.3129 | ACCURACY: 0.2652] | Best AP: 0.6715 | LR: 1.85e-04 | Pat: 2/30
Epoch 120 | Loss: 0.2385 | Val [AP: 0.6656 | AUPRC: 0.6607 | AUROC: 0.8498 | F1: 0.2938 | ACCURACY: 0.2621] | Best AP: 0.6715 | LR: 1.81e-04 | Pat: 3/30
Epoch 121 | Loss: 0.2372 | Val [AP: 0.6693 | AUPRC: 0.6673 | AUROC: 0.8542 | F1: 0.3088 | ACCURACY: 0.2661] | Best AP: 0.6715 | LR: 1.77e-04 | Pat: 4/30
Epoch 122 | Loss: 0.2361 | Val [AP: 0.6687 | AUPRC: 0.6646 | AUROC: 0.8523 | F1: 0.3157 | ACCURACY: 0.2737] | Best AP: 0.6715 | LR: 1.73e-04 | Pat: 5/30
